episode,t,action,reward,reward_pred,continue_pred,posterior_entropy,actor_entropy
0,1,5,0.0,-0.031290147453546524,0.999997615814209,0.47505849599838257,1.1707508563995361
0,2,5,0.0,-0.037202127277851105,0.9999954700469971,0.46993502974510193,1.095995306968689
0,3,5,0.0,-0.045068271458148956,0.9999936819076538,0.49507153034210205,1.0934631824493408
0,4,5,0.0,-0.05731744319200516,0.999993085861206,0.4982547163963318,1.092939853668213
0,5,5,0.0,-0.0695088803768158,0.9999927282333374,0.49972525238990784,1.0916504859924316
0,6,5,0.0,-0.07805612683296204,0.9999926090240479,0.4975277781486511,1.0902376174926758
0,7,5,0.0,-0.08314144611358643,0.9999924898147583,0.4947810769081116,1.0890804529190063
0,8,5,0.0,-0.08625143766403198,0.9999923706054688,0.4946763217449188,1.088225245475769
0,9,5,0.0,-0.08842713385820389,0.9999923706054688,0.4946763217449188,1.0875895023345947
0,10,5,0.0,-0.0901159793138504,0.9999922513961792,0.4946763217449188,1.087088942527771
0,11,5,0.0,-0.0020754088182002306,1.0,0.32617759704589844,1.0273780822753906
0,12,5,0.0,-0.003385149408131838,1.0,0.3225826621055603,1.0347790718078613
0,13,5,0.0,-0.0034890437964349985,1.0,0.3616345524787903,1.0321524143218994
0,14,5,0.0,-0.00462193600833416,0.999997615814209,0.5732887983322144,1.0072306394577026
0,15,5,0.0,-0.00607716478407383,0.9999947547912598,0.37919604778289795,1.0461061000823975
0,16,5,0.0,-0.00402671005576849,0.9999998807907104,0.5848659873008728,0.9892827868461609
0,17,5,0.0,-0.0034951562993228436,1.0,0.24179886281490326,1.0519697666168213
0,18,5,0.0,-0.003908868879079819,1.0,0.20415432751178741,1.0917433500289917
0,19,5,0.0,-0.003957225475460291,0.9999998807907104,0.20550397038459778,1.0961591005325317
0,20,5,0.0,-0.004232345148921013,0.9999998807907104,0.3213212788105011,1.0486667156219482
0,21,5,0.0,-0.0046235634945333,0.9999954700469971,0.5462043285369873,1.0230610370635986
0,22,5,0.0,-0.00616405438631773,0.9999946355819702,0.48302024602890015,1.0510404109954834
0,23,5,0.0,-0.00403897650539875,0.9999998807907104,0.5755527019500732,0.9912339448928833
0,24,5,0.0,-0.004232092294842005,1.0,0.4966947138309479,1.0078321695327759
0,25,5,0.0,-0.00432392256334424,0.9999998807907104,0.4546512961387634,1.0163710117340088
0,26,5,0.0,-0.004247640259563923,0.9999998807907104,0.5383202433586121,1.005918025970459
0,27,5,0.0,-0.004966056905686855,0.999994158744812,0.486034631729126,1.0330021381378174
0,28,5,0.0,-0.002158509101718664,1.0,0.28541189432144165,1.0440764427185059
0,29,5,0.0,-0.004090352449566126,1.0,0.20096224546432495,1.0908315181732178
0,30,5,0.0,-0.004532684572041035,0.9999998807907104,0.42583051323890686,1.0325438976287842
0,31,5,0.0,-0.00437960447743535,0.9999935626983643,0.4407873749732971,1.0354763269424438
0,32,5,0.0,-0.0021749946754425764,1.0,0.36176496744155884,1.0289589166641235
0,33,5,0.0,-0.0042543914169073105,1.0,0.3254172205924988,1.03122079372406
0,34,5,0.0,-0.004853001330047846,0.9999997615814209,0.5813908576965332,0.9883129596710205
0,35,5,0.0,-0.003607219783589244,1.0,0.5020986795425415,1.0226854085922241
0,36,5,0.0,-0.003869849955663085,1.0,0.09118218719959259,1.1053814888000488
0,37,5,0.0,-0.004087327979505062,0.9999998807907104,0.09449081122875214,1.118414044380188
0,38,5,0.0,-0.0037617082707583904,0.9999924898147583,0.4934215545654297,1.0439695119857788
0,39,5,0.0,-0.002767727943137288,0.9999998807907104,0.574347734451294,1.0000022649765015
0,40,5,0.0,-0.0040576220490038395,1.0,0.325577974319458,1.0346317291259766
0,41,5,0.0,-0.004534619394689798,0.9999998807907104,0.35382333397865295,1.03108549118042
0,42,5,0.0,-0.004686000291258097,0.9999938011169434,0.4897507429122925,1.0347731113433838
0,43,5,0.0,-0.0028640113305300474,0.9999804496765137,0.08356522768735886,1.1226879358291626
0,44,5,0.0,-0.00499436492100358,0.9999786615371704,0.07917454838752747,1.1544198989868164
0,45,5,0.0,-0.014672189950942993,0.9999722242355347,0.07933241128921509,1.1755174398422241
0,46,5,0.0,-0.05255179852247238,0.9999579191207886,0.2943493723869324,1.1996464729309082
0,47,5,0.0,-0.0025596129707992077,1.0,0.5567187070846558,1.0084561109542847
0,48,5,0.0,-0.003964558709412813,1.0,0.32734909653663635,1.036934733390808
0,49,5,0.0,-0.004133792594075203,1.0,0.35426679253578186,1.0306681394577026
0,50,5,0.0,-0.004331492353230715,0.999994158744812,0.37442246079444885,1.0335720777511597
0,51,5,0.0,-0.0020113233476877213,1.0,0.32323992252349854,1.0677814483642578
0,52,5,0.0,-0.003909328021109104,1.0,0.08823569864034653,1.114328145980835
0,53,5,0.0,-0.00400333059951663,0.9999998807907104,0.11147981137037277,1.1187903881072998
0,54,5,0.0,-0.003706393763422966,0.9999927282333374,0.4834437370300293,1.0435893535614014
0,55,5,0.0,-0.0021195460576564074,1.0,0.34775516390800476,1.0309360027313232
0,56,5,0.0,-0.0043181381188333035,1.0,0.3226550221443176,1.0315850973129272
0,57,5,0.0,-0.00453756982460618,0.9999998807907104,0.5365598201751709,1.0076788663864136
0,58,5,0.0,-0.005159826949238777,0.9999940395355225,0.456626832485199,1.0326690673828125
0,59,5,-1.0,-0.0022667190060019493,1.0,0.2177727371454239,1.0545737743377686
0,60,5,0.0,-0.004378148820251226,1.0,0.19831499457359314,1.092134714126587
0,61,5,0.0,-0.0047794124111533165,0.9999998807907104,0.4179551601409912,1.0321916341781616
0,62,5,0.0,-0.004660157021135092,0.9999935626983643,0.45365339517593384,1.0350278615951538
0,63,5,0.0,-0.0022961320355534554,1.0,0.3318409323692322,1.0285362005233765
0,64,5,0.0,-0.004475452471524477,1.0,0.31387484073638916,1.0307621955871582
0,65,5,0.0,-0.004618790466338396,0.9999998807907104,0.5671625137329102,1.0038446187973022
0,66,5,0.0,-0.004168068058788776,1.0,0.44308939576148987,1.0245293378829956
0,67,5,0.0,-0.0040431576780974865,1.0,0.08544807881116867,1.1046268939971924
0,68,5,0.0,-0.004274090752005577,0.9999998807907104,0.09267398715019226,1.1179736852645874
0,69,5,0.0,-0.004475677851587534,0.9999948740005493,0.5234339833259583,1.027981162071228
0,70,5,0.0,-0.0026772785931825638,1.0,0.5481911301612854,1.007202386856079
0,71,5,0.0,-0.004411164205521345,1.0,0.3126181364059448,1.0359830856323242
0,72,5,0.0,-0.004683561623096466,0.9999998807907104,0.4099678099155426,1.03065824508667
